scientific_name,directive,annex,priority,listing_type,gbif_usage_key,gbif_species_key,match_type,matched_rank,kingdom,class,genus,alternative_name,source_celex,verbatim_entry
Monachus monachus,Habitats,II,TRUE,taxon,2434779,2434779,EXACT,SPECIES,Animalia,Mammalia,Monachus,,01992L0043-20130701,* Monachus monachus
Monanthes wildpretii,Habitats,II,FALSE,taxon,4197353,4197353,EXACT,SPECIES,Plantae,Magnoliopsida,Monanthes,,01992L0043-20130701,Monanthes wildpretii
Monizia edulis,Habitats,II,FALSE,taxon,5537848,9393490,EXACT,SPECIES,Plantae,Magnoliopsida,Daucus,,01992L0043-20130701,Monizia edulis
Morimus funereus,Habitats,II,FALSE,taxon,1119288,1119288,EXACT,SPECIES,Animalia,Insecta,Morimus,,01992L0043-20130701,Morimus funereus
Muscari gussonei,Habitats,II,TRUE,taxon,8171325,8171325,EXACT,SPECIES,Plantae,Liliopsida,Muscari,,01992L0043-20130701,* Muscari gussonei
Musschia aurea,Habitats,II,FALSE,taxon,3164483,3164483,EXACT,SPECIES,Plantae,Magnoliopsida,Musschia,,01992L0043-20130701,Musschia aurea
Musschia wollastonii,Habitats,II,TRUE,taxon,3164489,3164489,EXACT,SPECIES,Plantae,Magnoliopsida,Musschia,,01992L0043-20130701,* Musschia wollastonii
Mustela eversmanii,Habitats,II,FALSE,taxon,5219057,5219057,EXACT,SPECIES,Animalia,Mammalia,Mustela,,01992L0043-20130701,Mustela eversmanii
Mustela lutreola,Habitats,II,TRUE,taxon,5219007,5219007,EXACT,SPECIES,Animalia,Mammalia,Mustela,,01992L0043-20130701,* Mustela lutreola
Myomimus roachi,Habitats,II,FALSE,taxon,2439663,2439663,EXACT,SPECIES,Animalia,Mammalia,Myomimus,,01992L0043-20130701,Myomimus roachi
Myosotis azorica,Habitats,II,FALSE,taxon,8405185,8405185,EXACT,SPECIES,Plantae,Magnoliopsida,Myosotis,,01992L0043-20130701,Myosotis azorica
Myosotis lusitanica,Habitats,II,FALSE,taxon,5661017,5660582,EXACT,SPECIES,Plantae,Magnoliopsida,Myosotis,,01992L0043-20130701,Myosotis lusitanica
Myosotis maritima,Habitats,II,FALSE,taxon,5660980,5660980,EXACT,SPECIES,Plantae,Magnoliopsida,Myosotis,,01992L0043-20130701,Myosotis maritima
Myosotis rehsteineri,Habitats,II,FALSE,taxon,7930390,7930390,EXACT,SPECIES,Plantae,Magnoliopsida,Myosotis,,01992L0043-20130701,Myosotis rehsteineri
Myosotis retusifolia,Habitats,II,FALSE,taxon,8079388,5660582,EXACT,SPECIES,Plantae,Magnoliopsida,Myosotis,,01992L0043-20130701,Myosotis retusifolia
Myotis bechsteinii,Habitats,II,FALSE,taxon,2432427,2432427,EXACT,SPECIES,Animalia,Mammalia,Myotis,,01992L0043-20130701,Myotis bechsteinii
Myotis blythii,Habitats,II,FALSE,taxon,2432414,2432414,EXACT,SPECIES,Animalia,Mammalia,Myotis,,01992L0043-20130701,Myotis blythii
Myotis capaccinii,Habitats,II,FALSE,taxon,2432430,2432430,EXACT,SPECIES,Animalia,Mammalia,Myotis,,01992L0043-20130701,Myotis capaccinii
Myotis dasycneme,Habitats,II,FALSE,taxon,2432452,2432452,EXACT,SPECIES,Animalia,Mammalia,Myotis,,01992L0043-20130701,Myotis dasycneme
Myotis emarginatus,Habitats,II,FALSE,taxon,2432470,2432470,EXACT,SPECIES,Animalia,Mammalia,Myotis,,01992L0043-20130701,Myotis emarginatus
Myotis myotis,Habitats,II,FALSE,taxon,2432416,2432416,EXACT,SPECIES,Animalia,Mammalia,Myotis,,01992L0043-20130701,Myotis myotis
Myrica rivas-martinezii,Habitats,II,TRUE,taxon,5565312,3745163,EXACT,SPECIES,Plantae,Magnoliopsida,Morella,,01992L0043-20130701,* Myrica rivas-martinezii
Myrmecophilus baronii,Habitats,II,FALSE,taxon,5100580,5100580,EXACT,SPECIES,Animalia,Insecta,Myrmecophilus,,01992L0043-20130701,Myrmecophilus baronii
