datasetKey,datasetTitle,datasetDOI,datasetLicense,publisherKey,publisher
966426ce-f762-11e1-a439-00145eb45e9a,Herbarium Senckenbergianum (FR),10.15468/ucmdjy,http://creativecommons.org/licenses/by/4.0/legalcode,c76cf030-2a95-11da-9cc1-b8a03c50a862,Senckenberg
15cda1e2-65c9-4893-9777-de2d86a4c4f2,Checklist of the earthworms of Albania (Oligochaeta: Lumbricidae),10.15468/hbnjen,http://creativecommons.org/publicdomain/zero/1.0/legalcode,7ce8aef0-9e92-11dc-8738-b8a03c50a862,Plazi.org taxonomic treatments database
2f7c33b3-ea7a-40ac-a3b7-bace96f978f7,Type locality distributions from the World Register of Marine Species,10.15468/nmcdsv,http://creativecommons.org/licenses/by/4.0/legalcode,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,Flanders Marine Institute
e1539f14-f749-4f73-8c18-3355277f94f4,World distribution of the aquatic Oligochaeta,10.15468/2ywn3u,http://creativecommons.org/licenses/by/4.0/legalcode,0870a77b-587c-4369-a8ed-bc3d347b8e1c,PlutoF
0f83123f-0c04-4556-8f4d-5a4e2a9bac66,Aphyllophorales externi,10.15468/grb76u,http://creativecommons.org/licenses/by/4.0/legalcode,e5585950-488e-11db-a1c2-b8a03c50a862,Finnish Museum of Natural History -  Botany and Mycology Unit
b70fb651-6d0c-4856-90a7-89a08fa458f8,Lichen Collections (H): Type specimens of lichen-forming fungi,10.15468/q5vge4,http://creativecommons.org/licenses/by/4.0/legalcode,e5585950-488e-11db-a1c2-b8a03c50a862,Finnish Museum of Natural History -  Botany and Mycology Unit
569cd2a4-3d2b-48fa-b017-394b3a642098,"Potamophylax humoinsapiens sp. n. (Trichoptera, Limnephilidae), a new species from the Sharr Mountains, Republic of Kosovo",10.3897/bdj.11.e97969,http://creativecommons.org/licenses/by/4.0/legalcode,750a8724-fa66-4c27-b645-bd58ac5ee010,Biodiversity Data Journal
14d5676a-2c54-4f94-9023-1e8dcd822aa0,Pl@ntNet automatically identified occurrences,10.15468/mma2ec,http://creativecommons.org/licenses/by/4.0/legalcode,da86174a-a605-43a4-a5e8-53d484152cd3,Pl@ntNet
857bce66-f762-11e1-a439-00145eb45e9a,ZOBODAT (Zoological Botanical Database),10.15468/ynjblx,http://creativecommons.org/publicdomain/zero/1.0/legalcode,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,Biologiezentrum Linz Oberoesterreich
d446193a-7bbd-4c76-b90a-2546fcafa85c,Herbarium Dresdense,10.15468/qwjw7w,http://creativecommons.org/licenses/by/4.0/legalcode,e27f5129-68bb-48eb-81b5-2e9f50c71817,"Botanischer Garten, TU Dresden"
393b8c26-e4e0-4dd0-a218-93fc074ebf4e,INSDC Host Organism Sequences,10.15468/e97kmy,http://creativecommons.org/licenses/by/4.0/legalcode,ada9d123-ddb4-467d-8891-806ea8d94230,European Nucleotide Archive (EMBL-EBI)
355ffa2e-36ce-44aa-9772-2f433169100c,ZFMK Mammalia collection,10.15468/gwqwux,http://creativecommons.org/licenses/by/4.0/legalcode,6e1cad80-bdf5-11d8-84ea-b8a03c50a862,Leibniz Institute for the Analysis of Biodiversity Change (LIB)
e8e1610d-ca60-413c-8a2b-6e46b9e12057,ZFMK Orthoptera collection,10.15468/t3yz95,http://creativecommons.org/licenses/by/4.0/legalcode,6e1cad80-bdf5-11d8-84ea-b8a03c50a862,Leibniz Institute for the Analysis of Biodiversity Change (LIB)
263bbfe7-f643-43bb-b448-f0705d1c0e18,ZFMK Herpetology collection,10.15468/px1sya,http://creativecommons.org/licenses/by/4.0/legalcode,6e1cad80-bdf5-11d8-84ea-b8a03c50a862,Leibniz Institute for the Analysis of Biodiversity Change (LIB)
712dba38-74cc-4704-87c0-63d1bf8484bc,"BirdMap Data - GPS tracking of Storks, Cranes and birds of prey, breeding in Northern and Eastern Europe",10.15468/vnwmrx,http://creativecommons.org/licenses/by-nc/4.0/legalcode,0870a77b-587c-4369-a8ed-bc3d347b8e1c,PlutoF
03269e13-84ae-430f-990e-f11069413e36,AIMSurv Aedes Invasive Mosquito species harmonized surveillance in Europe. AIM-COST Action,10.15470/vs3677,http://creativecommons.org/publicdomain/zero/1.0/legalcode,e37fc40e-0541-4ffa-8a4c-0426d73804e8,Universitat de les Illes Balears
